Antrieb;Jahr;Belgium;Bulgaria;Czechia;Denmark;Germany;Estonia;Ireland;Greece;Spain;France;Croatia;Italy;Cyprus;Latvia;Lithuania;Luxembourg;Hungary;Malta;Netherlands;Austria;Poland;Portugal;Romania;Slovenia;Slovakia;Finland;Sweden;Iceland;Liechtenstein;Norway;Switzerland;United Kingdom;Bosnia and Herzegovina;Montenegro;Moldova;Georgia;Albania;Türkiye;Ukraine;Kosovo*
Benzin;2013;169.665;0;0;122.644;1.502.784;12.208;19.892;0;0;562.849;15.245;419.045;5.784;:;5.236;0;30.458;0;307.912;136.689;185.427;0;25.807;23.942;0;64.194;108.067;0;1.041;57.700;191.314;0;1.967;0;15.126;0;0;256.506;0;0
Diesel;2013;319.863;0;0;57.435;1.403.113;7.345;54.428;0;0;1.182.129;31.046;707.641;1.255;0;7.019;0;25.769;0;103.557;181.061;102.026;0;31.501;28.016;0;38.697;176.485;0;858;83.067;119.767;0;4.049;0;12.453;0;0;383.904;0;0
Elektro;2013;501;0;33;533;6.051;130;49;2;936;8.781;3;846;8;0;2;0;10;18;2.619;654;26;167;37;0;0;50;452;0;14;7.885;1.393;0;0;0;0;0;0;180;0;0
Benzin;2014;181.524;0;0;127.253;1.533.726;13.054;21.067;0;297.176;623.201;16.690;420.708;5.086;5.759;4.760;0;37.621;0;275.419;128.670;156.870;0;29.576;23.916;0;64.181;126.019;0;979;54.912;187.073;0;1.833;0;9.874;0;0;210.168;0;0
Diesel;2014;303.953;0;0;59.545;1.452.565;7.726;61.917;0;590.360;1.129.453;50.861;757.895;3.184;7.029;6.879;0;30.219;0;105.014;172.574;120.616;0;39.797;29.763;0;41.404;188.998;0;800;76.478;117.318;0;4.097;0;12.611;0;0;364.242;0;0
Elektro;2014;1.167;0;58;1.564;8.522;331;194;38;1.004;10.567;47;1.155;1;174;8;25;32;30;2.912;1.281;81;198;17;13;24;183;1.266;0;18;18.091;1.948;0;0;0;1;0;0;63;0;0
Benzin;2015;198.299;0;0;138.104;1.611.389;14.069;35.311;0;383.904;777.645;16.311;521.450;5.917;7.211;6.002;0;44.873;4.418;314.882;125.656;231.619;0;35.509;29.038;0;69.469;145.383;0;1.072;55.671;193.203;1.334.875;1.825;0;6.530;0;0;270.762;0;0
Diesel;2015;305.838;0;0;64.203;1.538.451;6.949;92.436;0;658.757;1.089.403;56.807;887.074;4.157;6.923;7.690;0;32.271;2.712;129.768;180.510;118.900;0;44.904;31.031;0;38.844;207.091;0;937;76.985;132.789;1.257.152;3.835;0;8.407;0;0;462.191;0;0
Elektro;2015;1.360;10;312;1.265;12.363;30;494;32;2.620;17.269;80;1.576;4;17;26;45;116;23;3.193;1.677;112;692;28;123;15;243;2.916;0;30;25.779;3.882;10.063;1;0;13;0;0;154;0;0
Benzin;2016;256.076;0;0;140.938;1.746.291;16.592;41.160;0;496.893;928.357;20.490;643.165;7.134;9.381;8.734;0;61.753;4.679;304.643;136.148;279.656;0;45.417;31.429;0;79.042;177.903;0;951;82.910;188.679;1.390.355;2.377;999;6.770;0;0;271.453;0;0
Diesel;2016;285.653;0;0;80.216;1.539.596;6.393;105.257;0;725.997;1.032.695;74.421;1.058.886;5.327;7.287;7.587;0;34.700;2.603;72.355;189.139;131.300;0;48.696;32.589;0;39.556;202.383;0;985;53.516;130.457;1.264.307;4.932;1.288;7.908;0;0;460.829;0;0
Elektro;2016;2.061;11;210;1.265;11.410;32;402;20;2.085;21.758;66;1.497;7;19;62;162;176;19;3.988;3.826;157;820;69;151;55;223;2.993;0;46;24.222;3.525;10.544;0;0;14;0;0;77;0;0
Benzin;2017;288.484;0;0;143.227;2.068.741;19.177;45.304;0;636.041;1.116.655;20.875;700.072;7.650;9.488;11.162;0;78.458;5.133;331.608;171.862;344.340;81.073;51.554;38.229;0;81.435;191.048;13.645;1.116;90.074;195.261;1.446.500;2.905;1.313;12.395;1.968;0;259.325;0;2.928
Diesel;2017;259.790;0;0;77.493;1.336.195;6.409;87.644;0;690.660;1.014.418;71.385;1.130.434;5.450;7.446;7.865;0;37.039;2.616;72.265;175.590;135.100;139.241;54.178;32.410;0;36.216;192.191;11.091;849;44.498;118.800;1.049.086;5.123;1.662;24.132;680;0;457.069;0;16.568
Elektro;2017;2.717;13;376;691;25.056;26;631;37;4.038;25.368;55;2.109;18;41;43;371;749;24;7.958;5.433;508;1.912;232;297;214;502;4.359;845;57;33.023;4.929;13.727;7;4;37;83;0;117;0;2
Benzin;2018;347.284;0;0;144.443;2.255.042;19.686;56.554;0;831.810;1.329.928;40.964;774.685;7.857;10.240;14.224;0;102.718;5.477;360.573;192.503;400.747;97.697;75.586;48.240;0;89.497;215.360;12.061;1.152;78.323;202.879;1.589.618;3.347;1.625;8.608;2.168;0;179.131;0;2.126
Diesel;2018;202.272;0;0;72.475;1.129.025;6.527;70.743;0;573.370;859.623;97.276;1.000.494;5.264;6.807;7.210;0;32.655;2.412;56.996;141.159;130.700;124.059;53.371;23.877;0;29.071;138.666;8.219;644;34.305;95.612;736.172;5.028;1.599;13.821;1.242;0;320.452;0;7.714
Elektro;2018;3.763;145;731;1.544;36.062;83;1.252;77;6.238;31.687;182;5.198;5;78;141;492;1.300;285;23.985;6.757;694;4.458;604;521;301;776;7.147;784;48;46.091;5.349;15.579;3;1;42;21;0;206;0;1
Benzin;2019;365.729;0;0;159.630;2.298.504;20.510;62.554;0;874.489;1.438.898;47.453;969.245;8.011;11.393;17.917;30.120;123.906;5.327;350.015;189.054;439.677;123.064;114.564;47.937;0;88.141;221.280;8.233;1.186;59.964;214.640;0;3.858;2.026;8.884;1.379;5.860;152.008;36.953;0
Diesel;2019;179.716;0;0;60.475;1.230.267;6.414;59.884;0;455.468;773.411;98.343;793.367;4.532;6.893;7.262;23.897;32.299;2.088;32.685;130.468;110.600;91.437;44.078;21.499;0;22.022;123.708;4.253;663;28.398;88.965;0;4.685;1.164;17.550;994;33.064;211.961;18.351;22.587
Elektro;2019;8.892;188;778;5.501;63.281;77;3.665;188;10.415;43.564;279;10.612;58;116;175;986;1.834;281;61.547;9.242;1.464;6.880;1.506;695;166;1.897;15.795;1.090;97;60.271;13.177;0;13;0;185;22;24;228;7.261;0
Benzin;2020;268.148;0;0;138.421;1.760.071;13.164;46.630;0;561.541;1.025.021;0;773.479;7.130;8.363;32.922;24.548;93.177;3.342;267.482;133.151;334.136;83.561;79.244;31.529;0;75.765;194.265;5.706;922;52.595;160.657;0;2.951;596;7.749;1.379;10.336;319.023;57.137;0
Diesel;2020;151.970;0;0;46.295;949.336;5.123;41.688;0;332.422;539.142;0;505.406;3.065;4.870;7.042;18.151;31.606;1.062;12.963;99.196;80.900;51.887;34.963;16.918;0;14.567;67.981;2.327;422;19.709;64.475;0;3.481;500;17.019;994;32.953;247.626;29.605;0
Elektro;2020;15.044;277;3.264;14.218;194.163;344;4.075;678;18.217;112.499;639;30.930;42;351;480;2.473;3.047;178;72.859;15.972;3.673;7.908;2.844;1.720;907;4.245;27.981;2.551;164;82.212;19.753;0;8;0;211;22;239;1.617;641;0
Benzin;2021;262.988;0;141.738;134.993;1.560.342;16.415;58.808;18.717;613.097;1.097.422;23.426;906.634;9.071;9.935;21.892;25.132;89.975;4.226;249.350;134.529;322.308;91.395;74.857;31.245;0;76.158;189.502;8.949;977;54.209;166.837;1.226.293;3.723;1.787;10.409;2.149;9.591;429.210;73.470;2.840
Diesel;2021;103.914;0;56.933;26.648;691.261;5.242;40.292;75.989;265.643;399.164;8.904;403.271;1.460;3.923;4.706;14.569;27.065;595;6.920;71.808;107.852;38.051;24.057;11.743;0;11.252;53.988;2.584;355;11.972;51.670;223.460;3.385;1.181;21.624;1.358;42.914;149.611;31.099;24.300
Elektro;2021;22.774;550;3.172;24.876;355.961;487;9.199;2.174;24.400;165.566;1.121;69.178;78;480;1.277;4.649;4.313;416;63.658;33.366;7.092;13.546;6.344;1.742;1.136;10.153;57.590;4.246;292;116.399;32.025;188.143;28;0;396;43;262;3.575;1.210;20
Benzin;2022;263.382;0;122.954;101.039;1.520.618;15.324;59.687;18.602;598.239;1.049.065;26.618;833.735;10.633;11.857;19.072;23.339;85.461;4.933;231.791;119.271;298.162;100.758;84.943;25.989;0;59.099;153.387;0;890;30.186;150.952;1.194.409;4.609;2.456;8.090;3.453;8.822;439.007;25.663;0
Diesel;2022;70.559;0;46.078;17.441;642.418;4.256;31.336;80.081;205.650;273.570;7.788;323.829;541;3.445;3.183;12.338;20.567;497;4.638;61.537;99.869;33.362;19.178;7.739;0;7.447;36.432;0;315;8.148;45.069;151.936;3.058;699;16.781;1.760;36.523;107.792;10.768;0
Elektro;2022;37.760;1.021;3.786;30.799;470.559;693;15.872;2.826;31.737;207.171;1.062;48.960;401;1.069;1.507;6.391;4.707;990;73.250;34.165;11.293;18.426;11.638;2.293;1.508;14.531;95.371;5.567;317;142.504;40.518;263.197;33;0;729;206;624;8.312;2.255;0
Benzin;2023;336.741;0;147.244;95.541;1.601.700;17.358;66.013;19.785;714.633;1.247.756;21.040;1.014.551;13.406;12.702;20.520;27.804;79.969;5.218;249.608;130.321;300.895;123.422;91.118;36.290;0;52.225;146.412;0;958;20.999;165.982;0;5.558;0;10.793;4.663;12.476;704.254;36.953;0
Diesel;2023;50.855;0;54.687;15.260;703.839;4.114;28.913;104.526;186.368;202.813;9.219;357.239;443;3.729;3.684;10.713;16.703;724;4.068;61.187;144.505;29.010;20.455;7.355;0;5.277;25.820;0;294;3.642;44.501;0;3.136;0;26.266;1.514;47.440;162.855;18.351;0
Elektro;2023;93.482;1.754;6.567;62.586;524.219;1.448;22.493;6.377;55.388;303.612;1.125;65.800;788;1.629;2.210;11.048;6.049;1.516;113.896;47.621;17.100;36.456;15.367;4.306;2.517;29.537;112.321;9.260;338;106.309;52.947;0;135;0;1.012;245;1.671;65.558;7.261;0