Jahr;Benzin;Diesel;Flüssiggas;Erdgas;Hybrid;"darunter 
Plug-In";Elektro;Sonstige;Pkw gesamt
2012;1.555.241;1.486.119;11.465;5.215;21.438;408;2.956;70;3.082.504
2013;1.502.784;1.403.113;6.257;7.835;26.348;1.385;6.051;43;2.952.431
2014;1.533.726;1.452.565;6.234;8.194;27.435;4.527;8.522;97;3.036.773
2015;1.611.389;1.538.451;4.716;5.285;33.630;11.101;12.363;208;3.206.042
2016;1.746.308;1.539.596;2.990;3.240;47.996;13.744;11.410;67;3.351.607
2017;1.986.488;1.336.776;4.400;3.723;84.675;29.436;25.056;144;3.441.262
2018;2.142.700;1.111.130;4.663;10.804;130.258;31.442;36.062;161;3.435.778
2019;2.136.891;1.152.733;7.256;7.623;239.250;45.348;63.281;224;3.607.258
2020;1.361.723;819.896;6.543;7.159;527.864;200.469;194.163;330;2.917.678
2021;972.588;524.446;10.118;3.916;754.588;325.449;355.961;515;2.622.132
2022;863.445;472.274;15.006;1.846;827.321;362.093;470.559;906;2.651.357
2023;978.660;486.581;13.147;1.327;840.304;175.724;524.219;371;2.844.609